product_code,indexx,BusinessUnit,Type,Products.Business.Line.Leader,Subtype,ProductName,BrandName,Brand.Manager,N_ordered,nEast,N_East,nNorth,N_North,nSouth,N_South,nUnderdark,N_Underdark,nWest,N_West
10042766,1,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,CONTAINER,Alchemy Jug (Blue),ARCANTIC,Enthoril Murkywaters,2027,0.155,315,0.344,697,0.352,714,0.002,4,0.147,297
10047934,2,COMMISSIONS,TOOLS & KITS,Kay Glimshine,TOOLS,Legendary Crafting Components,SABLE,Nundro Rockseeker,1988,0.162,323,0.386,768,0.299,594,0.014,27,0.139,276
10098969,3,LUXURY SPECIALTIES,MUSICAL INSTRUMENT,Balthazaar Viscari,STRING INSTRUMENT,Siren Song Lyre,MYTHAL,Arentian Mythrandius,2136,0.160,342,0.345,737,0.335,716,0.014,29,0.146,312
10111608,4,LUXURY SPECIALTIES,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Illuminators Tattoo Enchantment,SABLE,Nundro Rockseeker,2034,0.173,351,0.329,670,0.348,707,0.006,13,0.144,293
10247925,5,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,LIGHT ARMOUR,Leather Armour,RED CURTAIN,Siras Invictus,1978,0.180,357,0.359,711,0.315,624,0.019,38,0.125,248
10289184,6,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,IOUN STONE,Ioun Stone - Natural Knowledge,SABLE,Nundro Rockseeker,1895,0.134,254,0.369,700,0.331,627,0.017,32,0.149,282
10338620,7,COMMISSIONS,ARMS & ARMOUR,T'avin T'soban,LIGHT ARMOUR,Hide of the Feral Guardian,RED CURTAIN,Siras Invictus,3822,0.079,302,0.623,2382,0.203,775,0.009,35,0.086,328
10376032,8,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Needle of Mending,MYTHAL,Arentian Mythrandius,1932,0.151,291,0.378,730,0.350,676,0.011,21,0.111,214
10389747,9,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,WAND,Wand of Conducting,U.N.N.,Ruralion Baeneduren,2185,0.164,358,0.356,777,0.351,767,0.013,29,0.116,254
10401391,10,ADVENTURING,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Donkey,RED CURTAIN,Siras Invictus,2059,0.156,322,0.365,752,0.329,678,0.015,31,0.134,276
